Condition,Reaction,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
GLC_wt,PFK,0.0,0.9559920480168849,1.8370402386389781,2.60925046303229,3.381460687425625,4.120442890771091,4.796913073228126,5.473383258629805,6.165225499418586,7.074605620206946,7.983985740995412,8.89336948101301,9.80274598257234,11.129701347248005,12.584504973543723,14.030723170333511
GLC_wt,PFL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25860782353478534,4.176906775173622,8.095205726813287,12.013550859028493,15.931803630092583,18.598571787842555,20.882160461889754,23.152900617510426
GLC_wt,PGI,0.0,0.990930300435771,1.869681504488081,2.4200714748171896,2.9704614451462645,3.376063416878258,3.5092750954933116,3.642486786939733,3.8192783762009976,4.612791699802525,5.406305023404068,6.199826593789886,6.9933316706071444,9.02837014304651,11.443524141206673,13.83418373408698
GLC_wt,PGK,0.0,-1.8823903299922442,-3.6224017845108394,-5.254681107987737,-6.886960431464476,-8.513011448556595,-10.127345125692427,-11.741678803380465,-13.372902774741664,-15.243149917834723,-17.113397060928087,-18.983649386166075,-20.85389134711481,-23.1484185268625,-25.572846699487947,-27.98793264188137
GLC_wt,PGL,0.0,0.0,0.10386929913282739,0.5362361004508036,0.968602901768833,1.549084788427121,2.4082162310005706,3.267347660447784,4.083086279630432,4.2847507268707705,4.4864151741110785,4.688071567160089,4.889744068591705,3.850709576730769,2.4318125180650427,1.037316666045447
GLC_wt,ACALD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.948789818469574e-06
GLC_wt,AKGt2r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3749749106017826e-07
GLC_wt,PGM,0.0,-1.8162036443918217,-3.429387161178509,-4.935832974333732,-6.442278787488766,-7.966775912638774,-9.525233049764815,-11.083690185291138,-12.660402897297082,-14.495459529070086,-16.330516160843498,-18.165579380220525,-20.000629424390322,-22.265995408748303,-24.66310836910007,-27.05019973202335
GLC_wt,PIt2r,0.0,0.16275465261916722,0.4746276035091257,0.7840552334716939,1.0934828634314009,1.3432063275273274,1.4806080840334985,1.6180098458312924,1.7520543443493515,1.8385886585217008,1.925122972687946,2.011653830796721,2.0981916010204387,2.1698996822238907,2.237068507721967,2.305909120726622
GLC_wt,ALCD2x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.948789818469574e-06
GLC_wt,ACALDt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLC_wt,ACKr,0.0,0.0,0.0,0.0,0.0,-0.771801353008218,-2.9955959569368336,-5.219390492466104,-7.400382077461182,-8.975645229875964,-10.550908382291226,-12.126188498092294,-13.70143468712173,-15.751518536370082,-17.9469773072887,-20.12739342595282
GLC_wt,PPC,0.0,0.0,0.3697210592384894,0.6107561576196194,0.851791255999228,1.046318550617122,1.1533505112154532,1.2603824759336058,1.3647992304849346,1.4322069371951498,1.4996146439053433,1.5670196584475704,1.6344300573257344,1.6902885610081877,1.7426110692242667,1.7962378174892564
GLC_wt,ACONTa,0.0,1.3753144879654258,2.1436594700711935,2.811890924664323,3.4801223792570526,3.5563375368504966,2.5187898533612136,1.4812422223400812,0.5138476723095294,0.539226711522839,0.5646057507361373,0.5899837763466934,0.6153638291627356,0.6363945869876235,0.656094040545108,0.6762857028495596
GLC_wt,ACONTb,0.0,1.3753144879654258,2.1436594700711935,2.811890924664323,3.4801223792570526,3.5563375368504966,2.5187898533612136,1.4812422223400812,0.5138476723095294,0.539226711522839,0.5646057507361373,0.5899837763466934,0.6153638291627356,0.6363945869876235,0.656094040545108,0.6762857028495596
GLC_wt,ATPM,0.0,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39
GLC_wt,PPCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.288984609030512e-07
GLC_wt,ACt2r,0.0,-0.0,-0.0,-0.0,-0.0,-0.771801353008218,-2.9955959569368336,-5.219390492466104,-7.400382077461182,-8.975645229875964,-10.550908382291226,-12.126188498092294,-13.70143468712173,-15.751518536370082,-17.9469773072887,-20.12739342595282
GLC_wt,PPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLC_wt,ADK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLC_wt,AKGDH,0.0,1.2008001956185907,2.0044592848349243,2.5819408903064334,3.15942249577746,3.162398018335227,2.0845527419184124,1.006707516419844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.151204157626051e-07
GLC_wt,ATPS4r,0.0,8.127017069033256,11.357192446810398,14.750219032923122,18.143245619031262,20.2641454952625,19.991787844933064,19.719430307342673,19.34105795300397,17.462419287859156,15.583780622712746,13.705057233410779,11.826503292420064,8.780306183821049,5.376640083257262,2.0276049578720357
GLC_wt,PTAr,0.0,0.0,0.0,0.0,0.0,0.771801353008218,2.9955959569368336,5.219390492466104,7.400382077461182,8.975645229875964,10.550908382291226,12.126188498092294,13.70143468712173,15.751518536370082,17.9469773072887,20.12739342595282
GLC_wt,PYK,0.0,1.7932373953977179,0.9926915758872097,1.2144390719404772,1.4361865679949979,1.7309180126266381,2.162954477978522,2.594990936864205,3.048371924578234,3.803810024490094,4.55924812440212,5.314695991768721,6.070124324226163,7.269513104014893,8.604825396597493,9.928576442117683
GLC_wt,BIOMASS_Ecoli_core_w_GAM,0.0,0.04424243689867801,0.12902047014197182,0.21313377918056764,0.2972470882191098,0.36513070582742047,0.4024813341762625,0.43983196396353735,0.47626997155393397,0.499793040618073,0.5233161096822109,0.5468382392684155,0.570362247810488,0.5898550254774525,0.6081138572111484,0.6268266766198631
GLC_wt,PYRt2,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
GLC_wt,CO2t,0.0,-4.117240976558308,-6.509469382870706,-8.92998546007994,-11.35050153728733,-12.918077542149724,-12.881013669588413,-12.843949872623417,-12.67272124708047,-10.602860025052047,-8.532998803022938,-6.4630974535998735,-4.393276358964736,-2.79681560271039,-1.345295489385884,0.08263232505864682
GLC_wt,RPE,0.0,-0.031801463642769756,-0.023493714516158337,0.2042901731588922,0.43207406083401567,0.7702672409359976,1.3161739043278,1.862080557934891,2.3797146642006686,2.497249246984243,2.614783829767812,2.732313718387256,2.849852995334958,2.1431519255075524,1.1840961048133216,0.2409812218404607
GLC_wt,CS,0.0,1.3753144879654258,2.1436594700711935,2.811890924664323,3.4801223792570526,3.5563375368504966,2.5187898533612136,1.4812422223400812,0.5138476723095294,0.539226711522839,0.5646057507361373,0.5899837763466934,0.6153638291627356,0.6363945869876235,0.656094040545108,0.6762857028495596
GLC_wt,RPI,0.0,-0.031801463642769756,-0.1273630136489925,-0.33194592729192274,-0.5365288409348308,-0.7788175474911235,-1.0920423266727706,-1.4052671025129286,-1.7033716154297884,-1.7875014798865276,-1.8716313443432657,-1.9557578487728335,-2.039891073256747,-1.7075576512235966,-1.2477164132517211,-0.7963353028679118
GLC_wt,SUCCt2_2,0.0,0.0,0.0,1.3465673021073599e-11,1.4808874617635886e-11,0.0,0.0,0.0,0.0,0.0,0.0,7.391920926573073e-05,0.0,0.0,0.0,3.700088968866198e-07
GLC_wt,CYTBD,0.0,8.132184590519493,12.720617634681105,17.367162995938497,22.013708357194634,24.99189986629086,24.83140999829446,24.670920278168797,24.502818889469268,24.22700535676062,23.951191824051953,23.67534638939182,23.399564758634646,22.82834020335449,22.166670580017986,21.53828778331505
GLC_wt,D_LACt2,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
GLC_wt,ENO,0.0,1.8162036443918217,3.429387161178509,4.935832974333732,6.442278787488766,7.966775912638774,9.525233049764815,11.083690185291138,12.660402897297082,14.495459529070086,16.330516160843498,18.165579380220525,20.000629424390322,22.265995408748303,24.66310836910007,27.05019973202335
GLC_wt,SUCCt3,0.0,0.0,0.0,0.0,1.4808874617635886e-11,0.0,0.0,0.0,0.0,0.0,0.0,7.391920926573074e-05,0.0,0.0,0.0,3.612263473245013e-07
GLC_wt,ETOHt2r,0.0,0.0,0.0,-2.2737367544323206e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.483423659149812e-07
GLC_wt,SUCDi,0.0,1.3275813227954423,2.0044592848350407,2.581940890306448,3.15942249577746,3.162398018335227,2.0845527419184084,1.0067075164198647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLC_wt,SUCOAS,0.0,-1.2008001956185907,-2.0044592848349243,-2.5819408903064334,-3.15942249577746,-3.162398018335227,-2.0845527419184124,-1.006707516419844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.151204157626051e-07
GLC_wt,TALA,0.0,-0.007914971961173495,0.011541337602550883,0.14061573372153724,0.2696901298405471,0.4510397128698482,0.73073483298276,1.0104299484628756,1.2758240619658314,1.3388372673236835,1.401850472681545,1.464861161381577,1.5278768833972718,1.1780447948524875,0.7018126036332731,0.2336328602189901
GLC_wt,THD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4122940988771826,5.563155970997987,8.672998915843543
GLC_wt,TKT1,0.0,-0.007914971961173495,0.011541337602550883,0.14061573372153724,0.2696901298405471,0.4510397128698482,0.73073483298276,1.0104299484628756,1.2758240619658314,1.3388372673236835,1.401850472681545,1.464861161381577,1.5278768833972718,1.1780447948524875,0.7018126036332731,0.2336328602189901
GLC_wt,TKT2,0.0,-0.02388649168159626,-0.035035052118704,0.06367443943736598,0.16238393099344112,0.3192275280661494,0.5854390713451478,0.8516506094720517,1.1038906022348653,1.1584119796605594,1.212933357086267,1.267452557005679,1.3219761119376858,0.9651071306551272,0.4822835011800485,0.007348223474348421
GLC_wt,TPI,0.0,0.9559920480168849,1.8370402386389015,2.6092504630322533,3.381460687425589,4.120442890771091,4.796913073228126,5.473383258629765,6.165225499418556,7.074605620206946,7.983985740995412,8.89336948101301,9.80274598257234,11.129701347248057,12.584504973543723,14.030722632590582
GLC_wt,EX_ac_e,0.0,0.0,0.0,0.0,0.0,0.771801353008218,2.9955959569368336,5.219390492466104,7.400382077461182,8.975645229875964,10.550908382291226,12.126188498092294,13.70143468712173,15.751518536370082,17.9469773072887,20.12739342595282
GLC_wt,EX_acald_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLC_wt,EX_akg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.340982655391678e-07
GLC_wt,EX_co2_e,0.0,4.117240976558308,6.509469382870706,8.92998546007994,11.35050153728733,12.918077542149724,12.881013669588413,12.843949872623417,12.67272124708047,10.602860025052047,8.532998803022938,6.4630974535998735,4.393276358964736,2.79681560271039,1.345295489385884,-0.08263232505864682
GLC_wt,EX_etoh_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.948789818469574e-06
