,metanetx.chemical
acnam_e,metanetx.chemical:MNXM227
ade_e,metanetx.chemical:MNXM168
adn_e,metanetx.chemical:MNXM212
akg_e,metanetx.chemical:MNXM20
ala-D_e,metanetx.chemical:MNXM156
ala-L_e,metanetx.chemical:MNXM32
alltn_e,metanetx.chemical:MNXM612
arab-L_e,metanetx.chemical:MNXM461
arg-L_e,metanetx.chemical:MNXM70
asn-L_e,metanetx.chemical:MNXM147
asp-L_e,metanetx.chemical:MNXM42
but_e,metanetx.chemical:MNXM458
cation_e,metanetx.chemical:MNXM45842
cbl1_e,metanetx.chemical:MNXM47413
chol_e,metanetx.chemical:MNXM90
cit_e,metanetx.chemical:MNXM131
co2tot_e,metanetx.chemical:MNXM60
crn_e,metanetx.chemical:MNXM173
csn_e,metanetx.chemical:MNXM761
cynt_e,metanetx.chemical:MNXM1191
cys-L_e,metanetx.chemical:MNXM55
cytd_e,metanetx.chemical:MNXM338
dad-2_e,metanetx.chemical:MNXM625
dcyt_e,metanetx.chemical:MNXM704
dgsn_e,metanetx.chemical:MNXM647
dha_e,metanetx.chemical:MNXM460
din_e,metanetx.chemical:MNXM935
dms_e,metanetx.chemical:MNXM444
dmso_e,metanetx.chemical:MNXM745
duri_e,metanetx.chemical:MNXM492
etoh_e,metanetx.chemical:MNXM303
fe2_e,metanetx.chemical:MNXM111
for_e,metanetx.chemical:MNXM39
fru_e,metanetx.chemical:MNXM1273
fuc1p-L_e,metanetx.chemical:MNXM59386
fuc-L_e,metanetx.chemical:MNXM659
fum_e,metanetx.chemical:MNXM93
g6p_e,metanetx.chemical:MNXM160
gal_e,metanetx.chemical:MNXM390
galct-D_e,metanetx.chemical:MNXM1080
galctn-D_e,metanetx.chemical:MNXM1734
galt_e,metanetx.chemical:MNXM1233
galur_e,metanetx.chemical:MNXM11275
gam_e,metanetx.chemical:MNXM533
gbbtn_e,metanetx.chemical:MNXM626
glcn_e,metanetx.chemical:MNXM341
glcr_e,metanetx.chemical:MNXM744
glcur_e,metanetx.chemical:MNXM241
gln-L_e,metanetx.chemical:MNXM37
glu-L_e,metanetx.chemical:MNXM18
gly_e,metanetx.chemical:MNXM29
glyald_e,metanetx.chemical:MNXM435
glyb_e,metanetx.chemical:MNXM289
glyc_e,metanetx.chemical:MNXM89612
glyc3p_e,metanetx.chemical:MNXM66
glyclt_e,metanetx.chemical:MNXM222
gsn_e,metanetx.chemical:MNXM401
gua_e,metanetx.chemical:MNXM259
h_e,metanetx.chemical:MNXM1
hdca_e,metanetx.chemical:MNXM108
his-L_e,metanetx.chemical:MNXM134
hxan_e,metanetx.chemical:MNXM213
idon-L_e,metanetx.chemical:MNXM1565
ile-L_e,metanetx.chemical:MNXM231
indole_e,metanetx.chemical:MNXM377
ins_e,metanetx.chemical:MNXM334
k_e,metanetx.chemical:MNXM95
lac-D_e,metanetx.chemical:MNXM285
lac-L_e,metanetx.chemical:MNXM179
lcts_e,metanetx.chemical:MNXM362
leu-L_e,metanetx.chemical:MNXM140
lys-L_e,metanetx.chemical:MNXM78
mal-L_e,metanetx.chemical:MNXM98
malt_e,metanetx.chemical:MNXM165
malthx_e,metanetx.chemical:MNXM1571
maltpt_e,metanetx.chemical:MNXM1840
malttr_e,metanetx.chemical:MNXM722790
maltttr_e,metanetx.chemical:MNXM2395
man_e,metanetx.chemical:MNXM182
man6p_e,metanetx.chemical:MNXM40579
melib_e,metanetx.chemical:MNXM1434
met-D_e,metanetx.chemical:MNXM1275
met-L_e,metanetx.chemical:MNXM61
mnl_e,metanetx.chemical:MNXM615
na1_e,metanetx.chemical:MNXM27
nac_e,metanetx.chemical:MNXM274
nh3_e,metanetx.chemical:MNXM15
no2_e,metanetx.chemical:MNXM107
no3_e,metanetx.chemical:MNXM207
o2_e,metanetx.chemical:MNXM4
ocdca_e,metanetx.chemical:MNXM236
orn_e,metanetx.chemical:MNXM89620
phe-L_e,metanetx.chemical:MNXM97
pi_e,metanetx.chemical:MNXM9
pnto-R_e,metanetx.chemical:MNXM89882
pppn_e,metanetx.chemical:MNXM1403
pro-L_e,metanetx.chemical:MNXM114
ptrc_e,metanetx.chemical:MNXM118
pyr_e,metanetx.chemical:MNXM23
rib-D_e,metanetx.chemical:MNXM242
rmn_e,metanetx.chemical:MNXM1151
sbt-D_e,metanetx.chemical:MNXM469
ser-D_e,metanetx.chemical:MNXM694
ser-L_e,metanetx.chemical:MNXM53
so4_e,metanetx.chemical:MNXM58
spmd_e,metanetx.chemical:MNXM124
succ_e,metanetx.chemical:MNXM25
sucr_e,metanetx.chemical:MNXM167
tartr-L_e,metanetx.chemical:MNXM816
taur_e,metanetx.chemical:MNXM282
thm_e,metanetx.chemical:MNXM322
thr-L_e,metanetx.chemical:MNXM142
thymd_e,metanetx.chemical:MNXM420
tma_e,metanetx.chemical:MNXM352
tmao_e,metanetx.chemical:MNXM437
trp-L_e,metanetx.chemical:MNXM94
tsul_e,metanetx.chemical:MNXM323
ttdca_e,metanetx.chemical:MNXM314
tyr-L_e,metanetx.chemical:MNXM76
ura_e,metanetx.chemical:MNXM158
urea_e,metanetx.chemical:MNXM117
uri_e,metanetx.chemical:MNXM288
val-L_e,metanetx.chemical:MNXM199
xan_e,metanetx.chemical:MNXM174
xtsn_e,metanetx.chemical:MNXM687
xyl-D_e,metanetx.chemical:MNXM90288
h_c,metanetx.chemical:MNXM1
acgam_c,metanetx.chemical:MNXM143
cation_c,metanetx.chemical:MNXM45842
fuc1p-L_c,metanetx.chemical:MNXM59386
galt_c,metanetx.chemical:MNXM1233
gam_c,metanetx.chemical:MNXM533
na1_c,metanetx.chemical:MNXM27
h2_e,metanetx.chemical:MNXM195
k_c,metanetx.chemical:MNXM95
malt6p_c,metanetx.chemical:MNXM2394
man_c,metanetx.chemical:MNXM182
met-D_c,metanetx.chemical:MNXM1275
mnl_c,metanetx.chemical:MNXM615
no3_c,metanetx.chemical:MNXM207
sbt-D_c,metanetx.chemical:MNXM469
sucr_c,metanetx.chemical:MNXM167
biomass_c,metanetx.chemical:BIOMASS
biomass_e,metanetx.chemical:BIOMASS
