,metanetx.chemical
glc-D_c,metanetx.chemical:MNXM41
maltttr_c,metanetx.chemical:MNXM2395
maltpt_c,metanetx.chemical:MNXM1840
malthx_c,metanetx.chemical:MNXM1571
malthp_c,metanetx.chemical:MNXM3653
acmanap_c,metanetx.chemical:MNXM1286
8aonn_c,metanetx.chemical:MNXM1141
amob_c,metanetx.chemical:MNXM3090
dann_c,metanetx.chemical:MNXM1140
2dmmq8_c,metanetx.chemical:MNXM2178
mqn8_c,metanetx.chemical:MNXM509
4ampm_c,metanetx.chemical:MNXM790
for_c,metanetx.chemical:MNXM39
r5p_c,metanetx.chemical:MNXM116
anth_c,metanetx.chemical:MNXM188
pran_c,metanetx.chemical:MNXM1489
pmcoa_c,metanetx.chemical:MNXM951
ap4a_c,metanetx.chemical:MNXM1089
ap5a_c,metanetx.chemical:MNXM2412
5apru_c,metanetx.chemical:MNXM1532
5aprbu_c,metanetx.chemical:MNXM1178
arab-L_c,metanetx.chemical:MNXM461
rbl-L_c,metanetx.chemical:MNXM685
arg-L_c,metanetx.chemical:MNXM70
argsuc_c,metanetx.chemical:MNXM550
citr-L_c,metanetx.chemical:MNXM211
aspsa_c,metanetx.chemical:MNXM361
4pasp_c,metanetx.chemical:MNXM1177
asn-L_c,metanetx.chemical:MNXM147
ala-B_c,metanetx.chemical:MNXM144
cbp_c,metanetx.chemical:MNXM138
cbasp_c,metanetx.chemical:MNXM465
q8_c,metanetx.chemical:MNXM232
iasp_c,metanetx.chemical:MNXM599
q8h2_c,metanetx.chemical:MNXM191
mql8_c,metanetx.chemical:MNXM223
succ_c,metanetx.chemical:MNXM25
h2o2_c,metanetx.chemical:MNXM22
oaa_c,metanetx.chemical:MNXM46
succoa_c,metanetx.chemical:MNXM92
sucarg_c,metanetx.chemical:MNXM1756
prbatp_c,metanetx.chemical:MNXM722921
betald_c,metanetx.chemical:MNXM457
glyb_c,metanetx.chemical:MNXM289
btnso_c,metanetx.chemical:MNXM3932
btn_c,metanetx.chemical:MNXM304
cys-L_c,metanetx.chemical:MNXM55
dtbt_c,metanetx.chemical:MNXM1020
but_c,metanetx.chemical:MNXM458
btcoa_c,metanetx.chemical:MNXM233
actACP_c,metanetx.chemical:MNXM1223
malACP_c,metanetx.chemical:MNXM184
ddcaACP_c,metanetx.chemical:MNXM89851
cbi_c,metanetx.chemical:MNXM47455
cbl1_c,metanetx.chemical:MNXM47413
cdpdag1_c,metanetx.chemical:MNXM7158
cmp_c,metanetx.chemical:MNXM31
paEC_c,metanetx.chemical:MNXM109
4c2me_c,metanetx.chemical:MNXM1642
2p4c2me_c,metanetx.chemical:MNXM1641
pphn_c,metanetx.chemical:MNXM503
3psme_c,metanetx.chemical:MNXM1365
4hbz_c,metanetx.chemical:MNXM164
cinnm_c,metanetx.chemical:MNXM438
cenchddd_c,metanetx.chemical:MNXM2161
pgEC_c,metanetx.chemical:MNXM1946
clpnEC_c,metanetx.chemical:MNXM3557
csn_c,metanetx.chemical:MNXM761
cpppg3_c,metanetx.chemical:MNXM410
pppg9_c,metanetx.chemical:MNXM351
bbtcoa_c,metanetx.chemical:MNXM5762
crn_c,metanetx.chemical:MNXM173
crncoa_c,metanetx.chemical:MNXM90950
gbbtn_c,metanetx.chemical:MNXM626
ctbtcoa_c,metanetx.chemical:MNXM2363
ctbt_c,metanetx.chemical:MNXM1607
ura_c,metanetx.chemical:MNXM158
utp_c,metanetx.chemical:MNXM121
ctp_c,metanetx.chemical:MNXM63
cyan_c,metanetx.chemical:MNXM254
tsul_c,metanetx.chemical:MNXM323
so3_c,metanetx.chemical:MNXM81
tcynt_c,metanetx.chemical:MNXM762
cynt_c,metanetx.chemical:MNXM1191
acser_c,metanetx.chemical:MNXM418
h2s_c,metanetx.chemical:MNXM89582
cyst-L_c,metanetx.chemical:MNXM319
cytd_c,metanetx.chemical:MNXM338
uri_c,metanetx.chemical:MNXM288
cdp_c,metanetx.chemical:MNXM220
dcmp_c,metanetx.chemical:MNXM266
dcdp_c,metanetx.chemical:MNXM411
fad_c,metanetx.chemical:MNXM33
fadh2_c,metanetx.chemical:MNXM38
dad-2_c,metanetx.chemical:MNXM625
din_c,metanetx.chemical:MNXM935
damp_c,metanetx.chemical:MNXM432
dadp_c,metanetx.chemical:MNXM374
12dgrEC_c,metanetx.chemical:MNXM59
26dap-M_c,metanetx.chemical:MNXM529
lys-L_c,metanetx.chemical:MNXM78
26dap-LL_c,metanetx.chemical:MNXM644
db4p_c,metanetx.chemical:MNXM2323
dctp_c,metanetx.chemical:MNXM360
dutp_c,metanetx.chemical:MNXM452
dcyt_c,metanetx.chemical:MNXM704
duri_c,metanetx.chemical:MNXM492
2dh3dgal_c,metanetx.chemical:MNXM1627
2dh3dgal6p_c,metanetx.chemical:MNXM90136
2ddg6p_c,metanetx.chemical:MNXM649
e4p_c,metanetx.chemical:MNXM258
pep_c,metanetx.chemical:MNXM73
2dda7p_c,metanetx.chemical:MNXM1219
g3p_c,metanetx.chemical:MNXM74
dgmp_c,metanetx.chemical:MNXM546
dgdp_c,metanetx.chemical:MNXM436
23dhmb_c,metanetx.chemical:MNXM114097
3mob_c,metanetx.chemical:MNXM238
23dhmp_c,metanetx.chemical:MNXM1202
3mop_c,metanetx.chemical:MNXM439
dha_c,metanetx.chemical:MNXM460
dhap_c,metanetx.chemical:MNXM77
23ddhb_c,metanetx.chemical:MNXM1977
23dhb_c,metanetx.chemical:MNXM455
23dhba_c,metanetx.chemical:MNXM1978
hkntd_c,metanetx.chemical:MNXM2040
23dhdp_c,metanetx.chemical:MNXM807
thdp_c,metanetx.chemical:MNXM722737
dhf_c,metanetx.chemical:MNXM281
dhpt_c,metanetx.chemical:MNXM965
dhna_c,metanetx.chemical:MNXM552
octdp_c,metanetx.chemical:MNXM811
dhnpt_c,metanetx.chemical:MNXM39043
6hmhpt_c,metanetx.chemical:MNXM937
gcald_c,metanetx.chemical:MNXM349
dhor-S_c,metanetx.chemical:MNXM252
orot_c,metanetx.chemical:MNXM235
cechddd_c,metanetx.chemical:MNXM1636
25drapp_c,metanetx.chemical:MNXM648
6hmhptpp_c,metanetx.chemical:MNXM1160
dhptd_c,metanetx.chemical:MNXM2449
hmfurn_c,metanetx.chemical:MNXM6359
3dhq_c,metanetx.chemical:MNXM478
3dhsk_c,metanetx.chemical:MNXM611
25dkglcn_c,metanetx.chemical:MNXM936
dkmpp_c,metanetx.chemical:MNXM89901
2kmb_c,metanetx.chemical:MNXM276
dmpp_c,metanetx.chemical:MNXM132
ipdp_c,metanetx.chemical:MNXM83
grdp_c,metanetx.chemical:MNXM100
h2mb4p_c,metanetx.chemical:MNXM606
2omhmbl_c,metanetx.chemical:MNXM2187
dmso_c,metanetx.chemical:MNXM745
dms_c,metanetx.chemical:MNXM444
2dmmql8_c,metanetx.chemical:MNXM558
dhpmp_c,metanetx.chemical:MNXM1645
ahdt_c,metanetx.chemical:MNXM397
23doguln_c,metanetx.chemical:MNXM958
3dhguln_c,metanetx.chemical:MNXM736
dpcoa_c,metanetx.chemical:MNXM481
2dhp_c,metanetx.chemical:MNXM959
pant-R_c,metanetx.chemical:MNXM593
2dr5p_c,metanetx.chemical:MNXM2179
dtmp_c,metanetx.chemical:MNXM257
dump_c,metanetx.chemical:MNXM234
2dr1p_c,metanetx.chemical:MNXM1063
dxyl5p_c,metanetx.chemical:MNXM622
2me4p_c,metanetx.chemical:MNXM1626
dxyl_c,metanetx.chemical:MNXM2454
4per_c,metanetx.chemical:MNXM1407
ecaEC_c,metanetx.chemical:MNXM11492
udcpdp_c,metanetx.chemical:MNXM326
6pgc_c,metanetx.chemical:MNXM325
kdo2lipid4_c,metanetx.chemical:MNXM824
kdo2lipid4L_c,metanetx.chemical:MNXM1870
lipa_c,metanetx.chemical:MNXM946
kdo2lipid4p_c,metanetx.chemical:MNXM7460
lipa_cold_c,metanetx.chemical:MNXM5690
2pg_c,metanetx.chemical:MNXM275
seramp_c,metanetx.chemical:MNXM722786
enter_c,metanetx.chemical:MNXM883
etha_c,metanetx.chemical:MNXM218
f6p_c,metanetx.chemical:MNXM68
ocdca_c,metanetx.chemical:MNXM236
fdp_c,metanetx.chemical:MNXM417
fuc-L_c,metanetx.chemical:MNXM659
fcl-L_c,metanetx.chemical:MNXM1748
fc1p_c,metanetx.chemical:MNXM1749
lald-L_c,metanetx.chemical:MNXM2387
fe2_c,metanetx.chemical:MNXM111
ppp9_c,metanetx.chemical:MNXM346
pheme_c,metanetx.chemical:MNXM56012
suc6p_c,metanetx.chemical:MNXM1004
fru_c,metanetx.chemical:MNXM1273
h2_c,metanetx.chemical:MNXM195
fmn_c,metanetx.chemical:MNXM119
f1p_c,metanetx.chemical:MNXM90464
mal-L_c,metanetx.chemical:MNXM98
gam1p_c,metanetx.chemical:MNXM969
acgam1p_c,metanetx.chemical:MNXM89939
g1p_c,metanetx.chemical:MNXM89588
dttp_c,metanetx.chemical:MNXM394
dtdpglu_c,metanetx.chemical:MNXM1376
glu1sa_c,metanetx.chemical:MNXM1453
5aop_c,metanetx.chemical:MNXM405
